Type,Indicator,Context,Source,
SHA256,0f9d723c3023a6af3e5522f63f649c7d6a8cb2727ec092e0b38ee76cd1bbf1c4,DessertDown,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,bf90d5db47e6ba3a1840976b6bb88a8d0dfe97dfe02c9ca31b7be4018816d232,DessertDown,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,b9b41fbbd646f11d148cface520a5d4e0ec502ba85c67b00668e239082a302e3,DinoTrain,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,c05f4c5a6bb940e94782e07cf276fc103a6acca365ba28e7b4db09b5bbc01e58,DilongTrash,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,3cbe7d544ef4c8ff8e5c1e101dbdf5316d0cfbe32658d8b9209f922309162bcf,ObfuBerry,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
SHA256,3bab73a7ba6b84d9c070bb7f71daab5b40fcb6ee0387b67be51e978a47c25439,ObfuMerry,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,acetica[.]online,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,adeltorr[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,arianat[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,bartion[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,bibliota[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,bilorotka[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,dokkade[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,goshita[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,hajimari[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,libellus[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,meshatr[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nakushita[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,naletovo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nattanda[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
